Deklaracja ścieżek;Kontrola deklaracji ścieżek (pliki *.pth i *.pti);exec('pth','%release');;;;;;;;;
Katalog;Plik;Nr linii;Linia;Linia;Typ;Element;Opis;Zapis poprawny;;;
#STP_FUNK;STP_FUNK;ext_slo;P;W pliku ext_slo.fml nie odnaleziono procedury \STP_FUNK.;N;;;;;;
'$';strdolar;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
'AE_SLBAN1';ae_slban;waluty;P;W pliku waluty.fml nie odnaleziono procedury \ae_slban.;N;;;;;;
'AE_SLWAL1';ae_slwal;waluty;P;W pliku waluty.fml nie odnaleziono procedury \ae_slwal.;N;;;;;;
'BE_WAL1';sl_wal;waluty;P;W pliku waluty.fml nie odnaleziono procedury \sl_wal.;N;;;;;;
'VP <- 0';VP01;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
'VP <- 1';vp_1;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
*     LT;edit_var_lt;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
*GIODOE1;giodoe1;skid_gio;F;Nie odnaleziono pliku skid_gio.fml;N;;;;;;
*KALMSL1;legenda;kal_mies;P;W pliku kal_mies.fml nie odnaleziono procedury \legenda.;N;;;;;;
*KALMSL2;legenda;kal_mies;P;W pliku kal_mies.fml nie odnaleziono procedury \legenda.;N;;;;;;
*KALMSL3;legenda;kal_mies;P;W pliku kal_mies.fml nie odnaleziono procedury \legenda.;N;;;;;;
*KALMSL4;legenda;kal_mies;P;W pliku kal_mies.fml nie odnaleziono procedury \legenda.;N;;;;;;
*KALMSL5;legenda;kal_mies;P;W pliku kal_mies.fml nie odnaleziono procedury \legenda.;N;;;;;;
<     PB;pb_bl;kontrol;F;Nie odnaleziono pliku kontrol.fml;N;;;;;;
<   N_PB;n_pb_bl;kontrol;F;Nie odnaleziono pliku kontrol.fml;N;;;;;;
<  KZP WYD;wyd_bl;kzp;F;Nie odnaleziono pliku kzp.fml;N;;;;;;
<  NOTKA;NOTKA;kali;F;Nie odnaleziono pliku kali.fml;N;;;;;;
<  PRZ A;__PRZ_A;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
<  RP7_P;RP7_P;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
< CON WD;wyd_g_bl;kontrol;F;Nie odnaleziono pliku kontrol.fml;N;;;;;;
< CON WY;wyd_bl;kontrol;F;Nie odnaleziono pliku kontrol.fml;N;;;;;;
< STNKOD;_sntkod;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
<SR;sr;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
> RP7_WR;RP7_WR;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
> USERS_REF;users_ref;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
> ZGP_REF;zgp_ref;zl_guid1;F;Nie odnaleziono pliku zl_guid1.fml;N;;;;;;
>PAKASORT;pakasort_ref;wyprodzo;F;Nie odnaleziono pliku wyprodzo.fml;N;;;;;;
>WYDZIAL;WYDZIAL;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
?     PB;pb_spr;kontrol;F;Nie odnaleziono pliku kontrol.fml;N;;;;;;
?   N_PB;n_pb_spr;kontrol;F;Nie odnaleziono pliku kontrol.fml;N;;;;;;
?  KZP WYD;wyd_spr;kzp;F;Nie odnaleziono pliku kzp.fml;N;;;;;;
? CON WY;wyd_spr;kontrol;F;Nie odnaleziono pliku kontrol.fml;N;;;;;;
AEDPAR2;aedpar;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
AEDPAR3;aedpar;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
AEDPAR4;aedpar;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
AEDPAR5;aedpar;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
AEDTAPC;aedtapc;ceny;P;W pliku ceny.fml nie odnaleziono procedury \aedtapc.;N;;;;;;
AEDTAPSV;aedtapsv;ceny;P;W pliku ceny.fml nie odnaleziono procedury \aedtapsv.;N;;;;;;
AEEDRPK;aeedrpk;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEKAPWPL;aekapwpl;skid_xin;F;Nie odnaleziono pliku skid_xin.fml;N;;;;;;
AEKAPZAK;aekapzak;skid_xin;F;Nie odnaleziono pliku skid_xin.fml;N;;;;;;
AEMODKET;aemodket;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEMODPRO;aemodpro;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEOBSMIN;aeobsmin;slownik1;F;Nie odnaleziono pliku slownik1.fml;N;;;;;;
AEOBSNOM;aeobsnom;slownik1;F;Nie odnaleziono pliku slownik1.fml;N;;;;;;
AEODD;aeodd;genstan;F;Nie odnaleziono pliku genstan.fml;N;;;;;;
AEOKRK;aeokrkon;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEOKRP;aeokrpoc;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEPRETZA;aepretza;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEPROJFM;aeprojfm;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEPROJKI;aeprojki;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEPROJPR;aeprojpr;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEPRPROD;aeprprod;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEPRZAS;aeprzas;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEREJEDI;aerejedi;efaktury;P;W pliku efaktury.fml nie odnaleziono procedury \aerejedi.;N;;;;;;
AERMSKAT;aermskat;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AERMSPDW;aermspdw;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AERODZDA;aerodzda;skid;F;Nie odnaleziono pliku skid.fml;N;;;;;;
AERODZSL;aerodzsl;skid_pel;F;Nie odnaleziono pliku skid_pel.fml;N;;;;;;
AEROKFK;aerokfk;skid_obg;F;Nie odnaleziono pliku skid_obg.fml;N;;;;;;
AEROKK;aerokk;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEROKP;aerokp;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AEROKWYD;aerokwyd;skid_sil;F;Nie odnaleziono pliku skid_sil.fml;N;;;;;;
AERSLU;aerslu;skid_pla;F;Nie odnaleziono pliku skid_pla.fml;N;;;;;;
AERWSZAC;aerwszac;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AESIKGS1;aesikgs1;plan_spr;F;Nie odnaleziono pliku plan_spr.fml;N;;;;;;
AESKXDF;aeskxdf;control;P;W pliku control.fml nie odnaleziono procedury \aeskxdf.;N;;;;;;
AESYMPRO;aesympro;skid_xd;F;Nie odnaleziono pliku skid_xd.fml;N;;;;;;
AETYPZD;aetypzd;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AETZAPZAM;aetzapzam;defin;F;Nie odnaleziono pliku defin.fml;N;;;;;;
AEUWZWSZ;aeuwzwsz;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
AE_AKCTY;ae_akcja_typ;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_ALG;ae_alg;skid_sil;F;Nie odnaleziono pliku skid_sil.fml;N;;;;;;
AE_A_CEC;ae_a_cec;skid2;F;Nie odnaleziono pliku skid2.fml;N;;;;;;
AE_BADR_TYP;ae_badr_typ;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_BAREM;ae_bad_remont;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_BZROK;ae_bzad_rok;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \ae_bzad_rok.;N;;;;;;
AE_CECHA;ae_cecha;wydr_es;F;Nie odnaleziono pliku wydr_es.fml;N;;;;;;
AE_CECHY;ae_cechy;wydr_es;F;Nie odnaleziono pliku wydr_es.fml;N;;;;;;
AE_CZYD_RODZAJ;ae_czyd_rodzaj;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_CZYN;ae_czyn;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_CZYU_KOSZTD;ae_czyu_kosztd;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_DATAK;ae_datak;pl_okr;F;Nie odnaleziono pliku pl_okr.fml;N;;;;;;
AE_DATAP;ae_datap;pl_okr;F;Nie odnaleziono pliku pl_okr.fml;N;;;;;;
AE_DEPT;ae_dept;skid;F;Nie odnaleziono pliku skid.fml;N;;;;;;
AE_DOP1;AE_DOP1;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
AE_DWYST;AE_DWYST;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
AE_DZIPN;ae_dzlan_pnaz;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \ae_dzlan_pnaz.;N;;;;;;
AE_DZZ_O;ae_dzienz_o;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_DZ_O;ae_dzien_o;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_EODD_OPER;ae_eodd_oper;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
AE_E_DPN;ae_e_dpn;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_E_DWN;ae_e_dwn;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_E_ODP;ae_e_odp;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_E_PRA;ae_e_pra;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_E_SAM;ae_e_sam;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_E_WYS;ae_e_wys;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_E_ZLB;ae_e_zlb;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_FAKT;ae_fakt;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
AE_FAKT_SEKRET;ae_fakt_sekret;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
AE_FUNPN;ae_fun_pnaz;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \ae_fun_pnaz.;N;;;;;;
AE_FZSYS;ae_fzsys;faktury;F;Nie odnaleziono pliku faktury.fml;N;;;;;;
AE_GPOJA;ae_gpojazd;srodki;F;Nie odnaleziono pliku srodki.fml;N;;;;;;
AE_GROD;ae_grod;skid_gr;F;Nie odnaleziono pliku skid_gr.fml;N;;;;;;
AE_GRROK;ae_grrok;skid_gr;F;Nie odnaleziono pliku skid_gr.fml;N;;;;;;
AE_GRSLU;ae_grslu;skid_gr;F;Nie odnaleziono pliku skid_gr.fml;N;;;;;;
AE_GR_DW;ae_gr_dw;srodruch;F;Nie odnaleziono pliku srodruch.fml;N;;;;;;
AE_GR_MO;ae_gr_mo;srodruch;F;Nie odnaleziono pliku srodruch.fml;N;;;;;;
AE_GW_RE;ae_gw_rem;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_HG_DO;ae_hg_do;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_HG_OD;ae_hg_od;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_KAL_D;ae_kal_d;kaledit;P;W pliku kaledit.fml nie odnaleziono procedury \ae_kal_d.;N;;;;;;
AE_KINWV;ae_kinw_var;inw_srod;F;Nie odnaleziono pliku inw_srod.fml;N;;;;;;
AE_KOD;ae_kod;komisje;F;Nie odnaleziono pliku komisje.fml;N;;;;;;
AE_KOLOR_ET;ae_kolor_et;skid_obi;F;Nie odnaleziono pliku skid_obi.fml;N;;;;;;
AE_KST_B;ae_kst_b;firma;F;Nie odnaleziono pliku firma.fml;N;;;;;;
AE_LIMIT;ae_limit;srodki;F;Nie odnaleziono pliku srodki.fml;N;;;;;;
AE_LOK;ae_lok;inw_srod;F;Nie odnaleziono pliku inw_srod.fml;N;;;;;;
AE_MIA1;ae_mia;um;F;Nie odnaleziono pliku um.fml;N;;;;;;
AE_MLKS;ae_mlks_auto;ml_auto;P;W pliku ml_auto.fml nie odnaleziono procedury \ae_mlks_auto.;N;;;;;;
AE_MLSUM;ae_mlsum;ml_auto;P;W pliku ml_auto.fml nie odnaleziono procedury \ae_mlsum.;N;;;;;;
AE_MO1;dl1;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
AE_ODD;ae_odd;skid_uz;F;Nie odnaleziono pliku skid_uz.fml;N;;;;;;
AE_ODDZ_SAM;ae_oddz_sam;skid_sam;F;Nie odnaleziono pliku skid_sam.fml;N;;;;;;
AE_ODZAMSN;ae_odzamsn;wypdefin;F;Nie odnaleziono pliku wypdefin.fml;N;;;;;;
AE_OKR;ae_okr;wydr_es;F;Nie odnaleziono pliku wydr_es.fml;N;;;;;;
AE_OSOBA;ae_osoba;komisje;F;Nie odnaleziono pliku komisje.fml;N;;;;;;
AE_PKOD_R1;ae_pkod_r1;skid_czt;F;Nie odnaleziono pliku skid_czt.fml;N;;;;;;
AE_PM;AE_PM;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
AE_POCZTA_JORG;ae_poczta_jorg;#mailbox;P;W pliku #mailbox.fml nie odnaleziono procedury \ae_poczta_jorg.;N;;;;;;
AE_POCZTA_JORG1;ae_poczta_jorg1;#mailbox;P;W pliku #mailbox.fml nie odnaleziono procedury \ae_poczta_jorg1.;N;;;;;;
AE_POLWOSN;ae_polwosn;wypdefin;F;Nie odnaleziono pliku wypdefin.fml;N;;;;;;
AE_POS_S;ae_pos_s;um_zlec;F;Nie odnaleziono pliku um_zlec.fml;N;;;;;;
AE_POWI2;ae_pow_var;inw_srod;F;Nie odnaleziono pliku inw_srod.fml;N;;;;;;
AE_PPOM;ae_ppom;plan_spr;F;Nie odnaleziono pliku plan_spr.fml;N;;;;;;
AE_PROJS;ae_projsz;skid_sam;F;Nie odnaleziono pliku skid_sam.fml;N;;;;;;
AE_PWREJ;ae_pwrej;par_wydr;F;Nie odnaleziono pliku par_wydr.fml;N;;;;;;
AE_PW_SEKRED;ae_pw_sekred;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
AE_PZAPN;ae_pzad_pnaz;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \ae_pzad_pnaz.;N;;;;;;
AE_REMNR;ae_rem_nr;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_REMOD;ae_rem_mod;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_REMRO;ae_rem_rok;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_REMR_TYP;ae_remr_typ;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_RFID_ADR;ae_rfid_adr;rfid;F;Nie odnaleziono pliku rfid.fml;N;;;;;;
AE_RFID_NR;ae_rfid_nr;rfid;F;Nie odnaleziono pliku rfid.fml;N;;;;;;
AE_RFID_PORT;ae_rfid_port;rfid;F;Nie odnaleziono pliku rfid.fml;N;;;;;;
AE_RODZA;ae_rodz_zsb;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_RS;AE_RS;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
AE_SAM;ae_sam;wysylki;F;Nie odnaleziono pliku wysylki.fml;N;;;;;;
AE_SAM_VIN;ae_sam_vin;samochody;P;W pliku samochody.fml nie odnaleziono procedury \ae_sam_vin.;N;;;;;;
AE_SEKREU;ae_sekreu;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
AE_SKROT;ae_skrot;param;F;Nie odnaleziono pliku param.fml;N;;;;;;
AE_SLAVAT;ae_slavat;sluappl;F;Nie odnaleziono pliku sluappl.fml;N;;;;;;
AE_SLBAN;ae_slban;homebank;P;W pliku homebank.fml nie odnaleziono procedury \ae_slban.;N;;;;;;
AE_SLJEZ;ae_sljez;wz_ser;F;Nie odnaleziono pliku wz_ser.fml;N;;;;;;
AE_SLWAL;ae_slwal;homebank;P;W pliku homebank.fml nie odnaleziono procedury \ae_slwal.;N;;;;;;
AE_STAT;ae_stat;zuzycie;F;Nie odnaleziono pliku zuzycie.fml;N;;;;;;
AE_STAT_SEKREZ;ae_stat_sekrez;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
AE_STRML;po_str;ml_xpert;P;W pliku ml_xpert.fml nie odnaleziono procedury \po_str.;N;;;;;;
AE_STS;ae_sts;defin;F;Nie odnaleziono pliku defin.fml;N;;;;;;
AE_STZ;ae_stz;defin;F;Nie odnaleziono pliku defin.fml;N;;;;;;
AE_SYSGR;ae_sysgr;dok_fks;P;W pliku dok_fks.fml nie odnaleziono procedury \ae_sysgr.;N;;;;;;
AE_TAB;ae_tab;doku_es;F;Nie odnaleziono pliku doku_es.fml;N;;;;;;
AE_TPNEW;ae_trbzad_pnew;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \ae_trbzad_pnew.;N;;;;;;
AE_TSP;ae_tsp;defin;F;Nie odnaleziono pliku defin.fml;N;;;;;;
AE_UB_RE;ae_ub_rem;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_UL;ae_ul;um;F;Nie odnaleziono pliku um.fml;N;;;;;;
AE_VAR_W;ae_war_woj;inw_srod;F;Nie odnaleziono pliku inw_srod.fml;N;;;;;;
AE_VAR_WYB_FIRM;ae_var_wyb_firm;skid_obg;F;Nie odnaleziono pliku skid_obg.fml;N;;;;;;
AE_WALR;ae_walr;zkd;F;Nie odnaleziono pliku zkd.fml;N;;;;;;
AE_WCV_W;ae_wcv_w;plan_spr;F;Nie odnaleziono pliku plan_spr.fml;N;;;;;;
AE_WERSJE_B;ae_wersje_b;plan_spr;F;Nie odnaleziono pliku plan_spr.fml;N;;;;;;
AE_WERSJE_W;ae_wersje_w;plan_spr;F;Nie odnaleziono pliku plan_spr.fml;N;;;;;;
AE_WLASN;ae_wlasny;samochody;P;W pliku samochody.fml nie odnaleziono procedury \ae_wlasny.;N;;;;;;
AE_WOJ;ae_woj;inw_srod;F;Nie odnaleziono pliku inw_srod.fml;N;;;;;;
AE_WYKON;ae_wykon;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_ZADNP;ae_zad_pnaz;ml_zad;P;W pliku ml_zad.fml nie odnaleziono procedury \ae_zad_pnaz.;N;;;;;;
AE_ZAP_ERR1;ae_zap_err1;skid_ktr;F;Nie odnaleziono pliku skid_ktr.fml;N;;;;;;
AE_ZASOB;ae_zasob;skid_rem;F;Nie odnaleziono pliku skid_rem.fml;N;;;;;;
AE_ZDILZ;ae_zdilz;zd;F;Nie odnaleziono pliku zd.fml;N;;;;;;
AE_ZKWP_KH;ae_zkwp_kh;wysylki;F;Nie odnaleziono pliku wysylki.fml;N;;;;;;
AE_ZTOP;ae_ttoper;zl_zope1;F;Nie odnaleziono pliku zl_zope1.fml;N;;;;;;
AE_ZTP;ae_ztp;defin;F;Nie odnaleziono pliku defin.fml;N;;;;;;
AF_PPLAN;por_okr;pl_okr;F;Nie odnaleziono pliku pl_okr.fml;N;;;;;;
AGZ_ZPUT;agz_zput;um_zlec2;F;Nie odnaleziono pliku um_zlec2.fml;N;;;;;;
AKTUALNY;zm_dse_be;war_tech;F;Nie odnaleziono pliku war_tech.fml;N;;;;;;
AKT_WYS;akt_wys;dok_pola;F;Nie odnaleziono pliku dok_pola.fml;N;;;;;;
ALG_WSK;alg_wsk;def_wsk;F;Nie odnaleziono pliku def_wsk.fml;N;;;;;;
ALL_DZ;ten_dz;gr_dok;F;Nie odnaleziono pliku gr_dok.fml;N;;;;;;
AMZAMKN;AMZAMKN;estra;F;Nie odnaleziono pliku estra.fml;N;;;;;;
ANAL_PR1;anal_pr;dok_zrd;F;Nie odnaleziono pliku dok_zrd.fml;N;;;;;;
ANAL_PR2;anal_pr;dok_zrd;F;Nie odnaleziono pliku dok_zrd.fml;N;;;;;;
ANAL_PR3;anal_pr;dok_zrd;F;Nie odnaleziono pliku dok_zrd.fml;N;;;;;;
ANAL_PR4;anal_pr;dok_zrd;F;Nie odnaleziono pliku dok_zrd.fml;N;;;;;;
ANAL_PR5;anal_pr;dok_zrd;F;Nie odnaleziono pliku dok_zrd.fml;N;;;;;;
ANAL_PR6;anal_pr;dok_zrd;F;Nie odnaleziono pliku dok_zrd.fml;N;;;;;;
ANCES_BE;ances_be;ml_pg;F;Nie odnaleziono pliku ml_pg.fml;N;;;;;;
ANKDSPPL;ankdsppl;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
ANKDSPRZ;ankdsprz;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
ANKDSPWK;ankdspwk;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
ANWDSPPL;anwdsppl;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
ANWDSPRZ;anwdsprz;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
ANWYNKOS;anwynkos;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
ANWYNPRZ;anwynprz;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
ATR_POW;atr_pow;skid201;F;Nie odnaleziono pliku skid201.fml;N;;;;;;
ATR_WYD;atr_wyd;mat_atr;P;W pliku mat_atr.fml nie odnaleziono procedury \atr_wyd.;N;;;;;;
A_WYD;set_wyd;produ;F;Nie odnaleziono pliku produ.fml;N;;;;;;
BA_GRDOK;ba_grdok;skid_gr;F;Nie odnaleziono pliku skid_gr.fml;N;;;;;;
BDKPODDO;bdkpoddo;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
BDPLUSER;bd_pl_user;plprod;F;Nie odnaleziono pliku plprod.fml;N;;;;;;
BDSMAG;bdsmag;magazyn;F;Nie odnaleziono pliku magazyn.fml;N;;;;;;
BDSPAW2;bdspa;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
BDSPAW3;bdspa;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
BDSPAW4;bdspa;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
BDSPAW5;bdspa;skid_pro;F;Nie odnaleziono pliku skid_pro.fml;N;;;;;;
BDSPODCH;bdspodch;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
BDSWPLAN;bdswplan;skid_prj;F;Nie odnaleziono pliku skid_prj.fml;N;;;;;;
BDS_FAKT_SEKRET;bds_fakt_sekret;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
BDS_SEKREU;bds_sekreu;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
BDS_STAT_SEKRED;bds_stat_sekred;sekret1;F;Nie odnaleziono pliku sekret1.fml;N;;;;;;
BDUDWYM1;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
BDUDWYM10;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
BDUDWYM11;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
BDUDWYM12;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
BDUDWYM13;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
BDUDWYM14;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
BDUDWYM15;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
BDUDWYM2;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
BDUDWYM3;bd_ud_pom_wym;control;P;W pliku control.fml nie odnaleziono procedury \bd_ud_pom_wym.;N;;;;;;
